taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
5102461,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,aromella,Stigmella aromella,Stigmella aromella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
9626971,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,fuscotibiella,Stigmella fuscotibiella,Stigmella fuscotibiella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
9247121,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,populetorum,Stigmella populetorum,Stigmella populetorum,99,ACCEPTED,EXACT,Quebec_Pohl2018,11
8633704,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,quercipulchella,Stigmella quercipulchella,Stigmella quercipulchella,98,ACCEPTED,EXACT,Quebec_Pohl2018,50
5102459,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,centifoliella,Stigmella centifoliella,Stigmella centifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018,6
5769795,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,oxyacanthella,Stigmella oxyacanthella,Stigmella oxyacanthella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,1
9608585,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,crataegifoliella,Stigmella crataegifoliella,Stigmella crataegifoliella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
9614351,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,purpuratella,Stigmella purpuratella,Stigmella purpuratella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
9582193,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,scintillans,Stigmella scintillans,Stigmella scintillans,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
9275915,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,argentifasciella,Stigmella argentifasciella,Stigmella argentifasciella,99,ACCEPTED,EXACT,Quebec_Pohl2018,4
9324487,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,villosella,Stigmella villosella,Stigmella villosella,99,ACCEPTED,EXACT,Quebec_Pohl2018,20
9333068,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,apicialbella,Stigmella apicialbella,Stigmella apicialbella,99,ACCEPTED,EXACT,Quebec_Pohl2018,25
9471353,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,procrastinella,Stigmella procrastinella,Stigmella procrastinella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
6097278,Nepticuloidea,Nepticulidae,[Nepticulinae],Bohemannia,pulverosella,Bohemannia pulverosella,Bohemannia pulverosella,99,ACCEPTED,EXACT,Quebec_Pohl2018,1
5102436,Nepticuloidea,Nepticulidae,[Nepticulinae],Glaucolepis,saccharella,Glaucolepis saccharella,Glaucolepis saccharella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,63
9281105,Nepticuloidea,Nepticulidae,[Nepticulinae],Fomoria,hypericella,Fomoria hypericella,Fomoria hypericella,99,ACCEPTED,EXACT,Quebec_Pohl2018,1
9332098,Nepticuloidea,Nepticulidae,[Nepticulinae],Fomoria,pteliaeella,Fomoria pteliaeella,Fomoria pteliaeella,99,ACCEPTED,EXACT,Quebec_Pohl2018,16
