accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
5123996,Lepidoptera,Sphingidae,Eumorpha,Eumorpha capronnieri,Eumorpha capronnieri,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5123983,Lepidoptera,Sphingidae,Eumorpha,Eumorpha fasciata,Eumorpha fasciatus,95,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
5123971,Lepidoptera,Sphingidae,Eumorpha,Eumorpha labruscae,Eumorpha labruscae,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5123954,Lepidoptera,Sphingidae,Eumorpha,Eumorpha satellitia,Eumorpha satellitia,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5123991,Lepidoptera,Sphingidae,Eumorpha,Eumorpha triangulum,Eumorpha triangulum,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862841,Lepidoptera,Sphingidae,Hyles,Hyles lineata,Hyles lineata,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863416,Lepidoptera,Sphingidae,Madoryx,Madoryx oiclus,Madoryx oiclus,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863426,Lepidoptera,Sphingidae,Madoryx,Madoryx pluto,Madoryx plutonius,99,SYNONYM,EXACT,SPECIES,panama_11Jan2023
1864004,Lepidoptera,Sphingidae,Manduca,Manduca florestan,Manduca florestan,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1864098,Lepidoptera,Sphingidae,Manduca,Manduca lefeburei,Manduca lefeburii,97,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
1864021,Lepidoptera,Sphingidae,Manduca,Manduca rustica,Manduca rustica,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863978,Lepidoptera,Sphingidae,Manduca,Manduca sexta,Manduca sexta,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Nyceryx coffeae,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
1863151,Lepidoptera,Sphingidae,Nyceryx,Nyceryx riscus,Nyceryx riscus,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863146,Lepidoptera,Sphingidae,Nyceryx,Nyceryx stuarti,Nyceryx stuarti,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5123704,Lepidoptera,Sphingidae,Oryba,Oryba achemenides,Oryba achemenides,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
5123701,Lepidoptera,Sphingidae,Oryba,Oryba kadeni,Oryba kadeni,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1864249,Lepidoptera,Sphingidae,Pachygonidia,Pachygonidia drucei,Pachygonidia drucei,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863858,Lepidoptera,Sphingidae,Pachylia,Pachylia darceta,Pachylia darceta,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1863856,Lepidoptera,Sphingidae,Pachylia,Pachylia ficus,Pachylia ficus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1861568,Lepidoptera,Sphingidae,Perigonia,Perigonia ilus,Perigonia ilus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1861559,Lepidoptera,Sphingidae,Perigonia,Perigonia lusca,Perigonia lusca,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1861559,Lepidoptera,Sphingidae,Perigonia,Perigonia luscus,Perigonia lusca,95,ACCEPTED,FUZZY,SPECIES,panama_11Jan2023
-1,NotAvail,NotAvail,NotAvail,Perigonia lusca ilus,NotAvail,100,NotAvail,NONE,NotAvail,panama_11Jan2023
1862547,Lepidoptera,Sphingidae,Protambulyx,Protambulyx strigilis,Protambulyx strigilis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1861479,Lepidoptera,Sphingidae,Unzela,Unzela japix,Unzela japix,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862145,Lepidoptera,Sphingidae,Xylophanes,Xylophanes adalia,Xylophanes adalia,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862078,Lepidoptera,Sphingidae,Xylophanes,Xylophanes anubus,Xylophanes anubus,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862123,Lepidoptera,Sphingidae,Xylophanes,Xylophanes chiron,Xylophanes chiron,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862182,Lepidoptera,Sphingidae,Xylophanes,Xylophanes epaphus,Xylophanes epaphus,98,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862126,Lepidoptera,Sphingidae,Xylophanes,Xylophanes guianensis,Xylophanes guianensis,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862187,Lepidoptera,Sphingidae,Xylophanes,Xylophanes libya,Xylophanes libya,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862083,Lepidoptera,Sphingidae,Xylophanes,Xylophanes nechus,Xylophanes crotonis,99,SYNONYM,EXACT,SPECIES,panama_11Jan2023
1862181,Lepidoptera,Sphingidae,Xylophanes,Xylophanes pluto,Xylophanes pluto,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1862207,Lepidoptera,Sphingidae,Xylophanes,Xylophanes tyndarus,Xylophanes tyndarus,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
1993643,Lepidoptera,Thyrididae,Meskea,Meskea dyspteraria,Meskea dyspteraria,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
11886219,Lepidoptera,Tortricidae,Anacrusis,Anacrusis thunberghiana,Anacrusis thunberghiana,99,ACCEPTED,EXACT,SPECIES,panama_11Jan2023
