,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,9619,9538,9187,8678,7936,7047,5739,4152,1454
conf-total,10850,10566,9913,9142,8234,7239,5859,4227,1483
reject,4,288,941,1712,2620,3615,4995,6627,9371
moths-total,10854,10854,10854,10854,10854,10854,10854,10854,10854
