,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,5382,5181,4949,4616,4273,3840,3314,2386,720
conf-total,6774,6207,5716,5162,4667,4115,3509,2504,752
reject,291,858,1349,1903,2398,2950,3556,4561,6313
moths-total,7065,7065,7065,7065,7065,7065,7065,7065,7065
