image,track_id,bb_topleft_x,bb_topleft_y,bb_botright_x,bb_botright_y,bb_centre_x,bb_centre_y,class,subclass,confidence
20220905042849-00-107.jpg,20,310,983,622,1400,466,1191,moth,Peridroma saucia,59
20220905042853-00-107.jpg,21,306,980,626,1399,466,1189,moth,Peridroma saucia,59
20220905042855-00-107.jpg,21,305,975,632,1398,468,1186,moth,Peridroma saucia,80
20220905062747-00-112.jpg,NA,1394,7,1503,116,1448,61,nonmoth,nonmoth,95
20220905062747-00-112.jpg,NA,2201,1009,2351,1167,2276,1088,nonmoth,nonmoth,95
20220905042851-00-107.jpg,22,301,978,623,1407,462,1192,moth,Peridroma saucia,71
20220905042843-00-107.jpg,22,316,983,617,1398,466,1190,moth,Spodoptera frugiperda,20
20220905062753-00-112.jpg,NA,1393,10,1500,114,1446,62,nonmoth,nonmoth,95
20220905062753-00-112.jpg,NA,2653,25,2787,198,2720,111,nonmoth,nonmoth,95
20220905043025-00-108.jpg,23,7,355,797,2107,402,1231,moth,Plodia interpunctella,4
20220905043023-00-108.jpg,24,271,976,635,1399,453,1187,moth,Peridroma saucia,59
20220905042857-00-107.jpg,24,299,981,627,1405,463,1193,moth,Peridroma saucia,90
20220905044557-00-110.jpg,24,1237,245,1725,527,1481,386,moth,Operophtera brumata,25
20220905043043-00-108.jpg,NA,2011,1039,2140,1146,2075,1092,nonmoth,nonmoth,95
20220905043039-00-108.jpg,NA,2173,1353,2314,1486,2243,1419,nonmoth,nonmoth,95
20220905043053-00-108.jpg,NA,2100,190,2207,345,2153,267,nonmoth,nonmoth,95
20220905043051-00-108.jpg,NA,2064,347,2170,495,2117,421,nonmoth,nonmoth,95
20220905062745-00-112.jpg,NA,1394,10,1500,115,1447,62,nonmoth,nonmoth,95
20220905062745-00-112.jpg,NA,2097,1339,2185,1508,2141,1423,nonmoth,nonmoth,94
20220905044529-00-109.jpg,NA,2421,116,2834,547,2627,331,nonmoth,nonmoth,95
