accepted_taxon_key,search_species,gbif_species,status,match_type,rank,confidence,genus,family,order,source
-1,Oligia (prov. plcmt.) minuscula,NotAvail,NotAvail,NONE,NotAvail,99,Oligia,Noctuidae,Lepidoptera,quebec_vermont
-1,Oligia (prov. plcmt.) obtusa,NotAvail,NotAvail,NONE,NotAvail,99,Oligia,Noctuidae,Lepidoptera,quebec_vermont
-1,Photedes (prov. plcmt.) enervata,NotAvail,NotAvail,NONE,NotAvail,99,Photedes,Noctuidae,Lepidoptera,quebec_vermont
-1,Photedes (prov. plcmt.) defecta,NotAvail,NotAvail,NONE,NotAvail,99,Photedes,Noctuidae,Lepidoptera,quebec_vermont
-1,Platypolia (prov. plcmt.) mactata,NotAvail,NotAvail,NONE,NotAvail,99,Platypolia,Noctuidae,Lepidoptera,quebec_vermont
-1,Orthodes (prov. plcmt.) goodelli,NotAvail,NotAvail,NONE,NotAvail,99,Orthodes,Noctuidae,Lepidoptera,quebec_vermont
-1,Orthodes (prov. plcmt.) obscura,NotAvail,NotAvail,NONE,NotAvail,99,Orthodes,Noctuidae,Lepidoptera,quebec_vermont
-1,Orthodes (prov. plcmt.) detracta,NotAvail,NotAvail,NONE,NotAvail,99,Orthodes,Noctuidae,Lepidoptera,quebec_vermont
-1,Depressariodes ciniflonella,NotAvail,NotAvail,NONE,NotAvail,100,Depressariodes,Depressariidae,Lepidoptera,quebec_vermont
-1,Coleotechnites obliquistrigella,NotAvail,NotAvail,NONE,NotAvail,100,Coleotechnites,Gelechiidae,Lepidoptera,quebec_vermont
-1,Lobesia spiraeae,NotAvail,NotAvail,NONE,NotAvail,100,Lobesia,Tortricidae,Lepidoptera,quebec_vermont
-1,Ancylis sheppardana,NotAvail,NotAvail,NONE,NotAvail,100,Ancylis,Tortricidae,Lepidoptera,quebec_vermont
-1,Pelochrista heathiana,NotAvail,NotAvail,NONE,NotAvail,100,Pelochrista,Tortricidae,Lepidoptera,quebec_vermont
-1,Haimbachia placidella,NotAvail,NotAvail,NONE,NotAvail,100,Haimbachia,Crambidae,Lepidoptera,quebec_vermont
-1,Oruza (prov. plcmt.) albocostaliata,NotAvail,NotAvail,NONE,NotAvail,99,Oruza,Erebidae,Lepidoptera,quebec_vermont
-1,Lithacodia (prov. plcmt.) musta,NotAvail,NotAvail,NONE,NotAvail,99,Lithacodia,Noctuidae,Lepidoptera,quebec_vermont
1730978,Zeuzera pyrina,Zeuzera pyrina,ACCEPTED,EXACT,SPECIES,99,Zeuzera,Cossidae,Lepidoptera,quebec_vermont
1731811,Prionoxystus macmurtrei,Prionoxystus macmurtrei,ACCEPTED,EXACT,SPECIES,99,Prionoxystus,Cossidae,Lepidoptera,quebec_vermont
