accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1867820,Lepidoptera,Saturniidae,Saturnia,Saturnia pavonia L.,Saturnia pavonia,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5125104,Lepidoptera,Brahmaeidae,Lemonia,Lemonia dumi L.,Lemonia dumi,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5123922,Lepidoptera,Sphingidae,Mimas,Mimas tiliae L.,Mimas tiliae,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1862580,Lepidoptera,Sphingidae,Smerinthus,Smerinthus ocellata L.,Smerinthus ocellata,98,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5124007,Lepidoptera,Sphingidae,Laothoe,Laothoe populi L.,Laothoe populi,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1861644,Lepidoptera,Sphingidae,Agrius,Agrius convolvuli L.,Agrius convolvuli,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1861510,Lepidoptera,Sphingidae,Acherontia,Acherontia atropos L.,Acherontia atropos,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5124143,Lepidoptera,Sphingidae,Sphinx,Sphinx ligustri L.,Sphinx ligustri,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
5124233,Lepidoptera,Sphingidae,Sphinx,Hyloicus pinastri L.,Sphinx pinastri,99,SYNONYM,EXACT,SPECIES,denmark_Dec2022
1861862,Lepidoptera,Sphingidae,Hemaris,Hemaris tityus L.,Hemaris tityus,99,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1861797,Lepidoptera,Sphingidae,Hemaris,Hemaris fuciformis L.,Hemaris fuciformis,98,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
1864652,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum L.,Macroglossum stellatarum,98,ACCEPTED,EXACT,SPECIES,denmark_Dec2022
