accepted_taxon_key,order,family,genus,search_species,gbif_species,confidence,status,match_type,rank,source
1863858,Lepidoptera,Sphingidae,Pachylia,Pachylia darceta,Pachylia darceta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1863856,Lepidoptera,Sphingidae,Pachylia,Pachylia ficus,Pachylia ficus,99,ACCEPTED,EXACT,SPECIES,panama-bci
1864249,Lepidoptera,Sphingidae,Pachygonidia,Pachygonidia drucei,Pachygonidia drucei,99,ACCEPTED,EXACT,SPECIES,panama-bci
1805991,Lepidoptera,Erebidae,Pachydota,Pachydota punctata,Pachydota punctata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1805987,Lepidoptera,Erebidae,Pachydota,Pachydota saduca,Pachydota saduca,99,ACCEPTED,EXACT,SPECIES,panama-bci
1964570,Lepidoptera,Geometridae,Pachycopsis,Pachycopsis caducata,Pachycopsis caducata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1784496,Lepidoptera,Noctuidae,Ozarba,Ozarba oplora,Ozarba oplora,99,ACCEPTED,EXACT,SPECIES,panama-bci
10530239,Lepidoptera,Saturniidae,Oxytenis,Oxytenis nubila,Oxytenis nubila,99,ACCEPTED,EXACT,SPECIES,panama-bci
10211106,Lepidoptera,Saturniidae,Oxytenis,Oxytenis beprea,Oxytenis beprea,99,ACCEPTED,EXACT,SPECIES,panama-bci
10060405,Lepidoptera,Saturniidae,Oxytenis,Oxytenis modoccidentalis,Oxytenis modoccidentalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
9634178,Lepidoptera,Saturniidae,Oxytenis,Oxytenis modestia,Oxytenis modestia,99,ACCEPTED,EXACT,SPECIES,panama-bci
9566788,Lepidoptera,Saturniidae,Oxytenis,Oxytenis naemia,Oxytenis naemia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1976702,Lepidoptera,Geometridae,Oxydia,Oxydia apidania,Oxydia apidania,99,ACCEPTED,EXACT,SPECIES,panama-bci
1976651,Lepidoptera,Geometridae,Oxydia,Oxydia vesulia,Oxydia vesulia,99,ACCEPTED,EXACT,SPECIES,panama-bci
5112825,Lepidoptera,Erebidae,Oxidercia,Oxidercia toxea,Oxidercia toxea,98,ACCEPTED,EXACT,SPECIES,panama-bci
5112819,Lepidoptera,Erebidae,Oxidercia,Oxidercia discophora,Oxidercia discophora,99,ACCEPTED,EXACT,SPECIES,panama-bci
5112814,Lepidoptera,Erebidae,Oxidercia,Oxidercia thaumantis,Oxidercia thaumantis,99,ACCEPTED,EXACT,SPECIES,panama-bci
10014056,Lepidoptera,Saturniidae,Othorene,Othorene intermedia,Othorene intermedia,99,ACCEPTED,EXACT,SPECIES,panama-bci
9438454,Lepidoptera,Saturniidae,Othorene,Othorene purpurascens,Othorene purpurascens,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Oryctometopia clevelandella,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1877517,Lepidoptera,Pyralidae,Oryctometopia,Oryctometopia fossulatella,Oryctometopia fossulatella,99,ACCEPTED,EXACT,SPECIES,panama-bci
5123704,Lepidoptera,Sphingidae,Oryba,Oryba achemenides,Oryba achemenides,99,ACCEPTED,EXACT,SPECIES,panama-bci
1759400,Lepidoptera,Noctuidae,Oruza,Oruza leucocrasia,Oruza leucocraspia,100,ACCEPTED,NONE,SPECIES,panama-bci
1762317,Lepidoptera,Noctuidae,Ortholeuca,Ortholeuca albiluna,Ortholeuca albiluna,99,ACCEPTED,EXACT,SPECIES,panama-bci
1797661,Lepidoptera,Erebidae,Oroscopa,Oroscopa belus,Oroscopa belus,99,ACCEPTED,EXACT,SPECIES,panama-bci
1803641,Lepidoptera,Erebidae,Ormetica,Ormetica sicilia,Ormetica sicilia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1803620,Lepidoptera,Erebidae,Ormetica,Ormetica ataenia,Ormetica ataenia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1735455,Lepidoptera,Copromorphidae,Ordrupia,Ordrupia fanniella,Ordrupia fanniella,99,ACCEPTED,EXACT,SPECIES,panama-bci
1812519,Lepidoptera,Erebidae,Ordishia,Ordishia rutilus,Ordishia rutilus,99,ACCEPTED,EXACT,SPECIES,panama-bci
1791709,Lepidoptera,Erebidae,Oraesia,Oraesia nobilis,Oraesia nobilis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1960315,Lepidoptera,Geometridae,Opisthoxia,Opisthoxia molpadia,Opisthoxia molpadia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1960279,Lepidoptera,Geometridae,Opisthoxia,Opisthoxia phrynearia,Opisthoxia phrynearia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1960262,Lepidoptera,Geometridae,Opisthoxia,Opisthoxia formosante,Opisthoxia formosante,99,ACCEPTED,EXACT,SPECIES,panama-bci
1955802,Lepidoptera,Geometridae,Ophthalmoblysis,Ophthalmoblysis nitidisquama,Ophthalmoblysis nitidisquama,99,ACCEPTED,EXACT,SPECIES,panama-bci
12200726,Lepidoptera,Erebidae,Neophisma,Ophisma despagnesi,Neophisma despagnesi,99,SYNONYM,EXACT,SPECIES,panama-bci
5112542,Lepidoptera,Erebidae,Ophisma,Ophisma tropicalis,Ophisma tropicalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1991068,Lepidoptera,Geometridae,Ophiogramma,Ophiogramma coenobiata,Ophiogramma coenobiata,99,ACCEPTED,EXACT,SPECIES,panama-bci
5117635,Lepidoptera,Erebidae,Opharus,Opharus gemma,Opharus gemma,99,ACCEPTED,EXACT,SPECIES,panama-bci
5117630,Lepidoptera,Erebidae,Opharus,Opharus immanis,Opharus immanis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5117609,Lepidoptera,Erebidae,Opharus,Opharus consimilis,Opharus consimilis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973692,Lepidoptera,Geometridae,Oospila,Oospila confluaria,Oospila confluaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973687,Lepidoptera,Geometridae,Oospila,Oospila albicoma,Oospila albicoma,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973670,Lepidoptera,Geometridae,Oospila,Oospila confundaria,Oospila confundaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973647,Lepidoptera,Geometridae,Oospila,Oospila rosipara,Oospila rosipara,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973631,Lepidoptera,Geometridae,Oospila,Oospila atopochlora,Oospila atopochlora,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973608,Lepidoptera,Geometridae,Oospila,Oospila depressa,Oospila depressa,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973588,Lepidoptera,Geometridae,Oospila,Oospila dicraspeda,Oospila dicraspeda,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973586,Lepidoptera,Geometridae,Oospila,Oospila holochroa,Oospila holochroa,99,ACCEPTED,EXACT,SPECIES,panama-bci
1973581,Lepidoptera,Geometridae,Oospila,Oospila miccularia,Oospila miccularia,99,ACCEPTED,EXACT,SPECIES,panama-bci
1878163,Lepidoptera,Pyralidae,Oncolabis,Oncolabis nigritella,Oncolabis anticella,99,SYNONYM,EXACT,SPECIES,panama-bci
1887634,Lepidoptera,Crambidae,Ommatospila,Ommatospila narcaeusalis,Ommatospila narcaeusalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Ommatochila chorrera,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
5126655,Lepidoptera,Crambidae,Omiodes,Omiodes croceiceps,Omiodes croceiceps,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126633,Lepidoptera,Crambidae,Omiodes,Omiodes humeralis,Omiodes humeralis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126626,Lepidoptera,Crambidae,Omiodes,Omiodes fulvicauda,Omiodes fulvicauda,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126614,Lepidoptera,Crambidae,Omiodes,Omiodes cuniculalis,Omiodes cuniculalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126587,Lepidoptera,Crambidae,Omiodes,Omiodes insolutalis,Omiodes insolutalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126572,Lepidoptera,Crambidae,Omiodes,Omiodes seminitidalis,Omiodes seminitidalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
5126571,Lepidoptera,Crambidae,Omiodes,Omiodes ochracea,Omiodes ochracea,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Oligostigma mollitalis,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1879102,Lepidoptera,Crambidae,Oligostigma,Oligostigma profusalis,Oligostigma profusalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1879097,Lepidoptera,Crambidae,Oligostigma,Oligostigma semimarginale,Oligostigma semimarginale,99,ACCEPTED,EXACT,SPECIES,panama-bci
1879092,Lepidoptera,Crambidae,Oligostigma,Oligostigma tigrinale,Oligostigma tigrinale,99,ACCEPTED,EXACT,SPECIES,panama-bci
1879085,Lepidoptera,Crambidae,Oligostigma,Oligostigma purifactalis,Oligostigma purifactalis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1879080,Lepidoptera,Crambidae,Oligostigma,Oligostigma electrale,Oligostigma electrale,99,ACCEPTED,EXACT,SPECIES,panama-bci
1868546,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera reperta,Olceclostera reperta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1868545,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera amoria,Olceclostera amoria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1868536,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera nigripuncta,Olceclostera nigripuncta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1868533,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera irrorata,Olceclostera irrorata,99,ACCEPTED,EXACT,SPECIES,panama-bci
11773446,Lepidoptera,Psychidae,Oiketicus,Oiketicus geyeri,Oiketicus geyeri,99,ACCEPTED,EXACT,SPECIES,panama-bci
7946946,Lepidoptera,Psychidae,Oiketicus,Oiketicus kirbyi,Oiketicus kirbyi,99,ACCEPTED,EXACT,SPECIES,panama-bci
1762635,Lepidoptera,Noctuidae,Oenoptera,Oenoptera albimacula,Oenoptera albimacula,99,ACCEPTED,EXACT,SPECIES,panama-bci
1810794,Lepidoptera,Erebidae,Odozana,Odozana sixola,Odozana sixola,99,ACCEPTED,EXACT,SPECIES,panama-bci
1810777,Lepidoptera,Erebidae,Odozana,Odozana decepta,Odozana decepta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1878403,Lepidoptera,Pyralidae,Ocoba,Ocoba melanophila,Ocoba melanophila,99,ACCEPTED,EXACT,SPECIES,panama-bci
1993705,Lepidoptera,Thyrididae,Ochrothyris,Ochrothyris mesogramma,Ochrothyris mesogramma,99,ACCEPTED,EXACT,SPECIES,panama-bci
1815323,Lepidoptera,Erebidae,Ochrodota,Ochrodota pronapides,Ochrodota pronapides,99,ACCEPTED,EXACT,SPECIES,panama-bci
1784757,Lepidoptera,Erebidae,Ocalaria,Ocalaria cohabita,Ocalaria cohabita,99,ACCEPTED,EXACT,SPECIES,panama-bci
1796700,Lepidoptera,Erebidae,Obroatis,Obroatis distincta,Obroatis distincta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1796699,Lepidoptera,Erebidae,Obroatis,Obroatis chloropis,Obroatis chloropis,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822463,Lepidoptera,Notodontidae,Nystalea,Nystalea nyseus,Nystalea nyseus,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822458,Lepidoptera,Notodontidae,Nystalea,Nystalea porgana,Nystalea porgana,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822441,Lepidoptera,Notodontidae,Nystalea,Nystalea ocellata,Nystalea ocellata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822421,Lepidoptera,Notodontidae,Nystalea,Nystalea aequipars,Nystalea aequipars,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822410,Lepidoptera,Notodontidae,Nystalea,Nystalea ebalea,Nystalea ebalea,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822405,Lepidoptera,Notodontidae,Nystalea,Nystalea joanna,Nystalea joanna,99,ACCEPTED,EXACT,SPECIES,panama-bci
1822397,Lepidoptera,Notodontidae,Nystalea,Nystalea superciliosa,Nystalea superciliosa,99,ACCEPTED,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nymphula hermeasalis,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nycterotis aroata,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nycterotis xylinoides,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
11638432,Lepidoptera,Notodontidae,Nycterotis,Nycterotis lignicolor,Nycterotis lignicolor,99,ACCEPTED,EXACT,SPECIES,panama-bci
1863148,Lepidoptera,Sphingidae,Nyceryx,Nyceryx coffaeae,Nyceryx coffaeae,99,ACCEPTED,EXACT,SPECIES,panama-bci
1808826,Lepidoptera,Erebidae,Nudur,Nudur fractivittarum,Nudur fractivittarum,99,ACCEPTED,EXACT,SPECIES,panama-bci
1823785,Lepidoptera,Notodontidae,Sericochroa,Notoplusia flavodiscata,Sericochroa flavodiscata,99,SYNONYM,EXACT,SPECIES,panama-bci
