accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1822796,Lepidoptera,Notodontidae,Clostera,Clostera curtula,Clostera curtula,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1965166,Lepidoptera,Geometridae,Euphyia,Euphyia unangulata,Euphyia unangulata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1957266,Lepidoptera,Geometridae,Larentia,Larentia clavaria,Larentia clavaria,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1874375,Lepidoptera,Pyralidae,Pima,Pima boisduvaliella,Pima boisduvaliella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1856289,Lepidoptera,Tineidae,Euplocamus,Euplocamus anthracinalis,Euplocamus anthracinalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1813114,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata,Miltochrista miniata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5769795,Lepidoptera,Nepticulidae,Stigmella,Stigmella oxyacanthella,Stigmella oxyacanthella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1864008,Lepidoptera,Sphingidae,Manduca,Manduca quinquemaculatus,Manduca quinquemaculatus,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1871252,Lepidoptera,Pyralidae,Synaphe,Synaphe punctalis,Synaphe punctalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1857856,Lepidoptera,Tineidae,Monopis,Monopis weaverella,Monopis weaverella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5110213,Lepidoptera,Noctuidae,Thalpophila,Thalpophila matura,Thalpophila matura,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1839893,Lepidoptera,Oecophoridae,Pleurota,Pleurota bicostella,Pleurota bicostella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1765751,Lepidoptera,Noctuidae,Tathorhynchus,Tathorhynchus exsiccata,Tathorhynchus exsiccata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1848847,Lepidoptera,Gelechiidae,Metzneria,Metzneria aestivella,Metzneria aestivella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1853081,Lepidoptera,Elachistidae,Chrysoclista,Chrysoclista lathamella,Chrysoclista lathamella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1803163,Lepidoptera,Erebidae,Utetheisa,Utetheisa pulchella,Utetheisa pulchella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5143477,Lepidoptera,Geometridae,Alcis,Alcis jubata,Alcis jubata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1744777,Lepidoptera,Tortricidae,Pammene,Pammene populana,Pammene populana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1850085,Lepidoptera,Gelechiidae,Caryocolum,Caryocolum blandulella,Caryocolum blandulella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5120990,Lepidoptera,Coleophoridae,Coleophora,Coleophora caespititiella,Coleophora caespititiella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5102557,Lepidoptera,Nepticulidae,Stigmella,Stigmella minusculella,Stigmella minusculella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1749105,Lepidoptera,Gracillariidae,Micrurapteryx,Micrurapteryx kollariella,Micrurapteryx kollariella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5145009,Lepidoptera,Geometridae,Scopula,Scopula immutata,Scopula immutata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1795215,Lepidoptera,Noctuidae,Cryphia,Cryphia algae,Cryphia algae,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1831009,Lepidoptera,Plutellidae,Ypsolophus,Ypsolopha asperella,Ypsolophus asperella,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
1978977,Lepidoptera,Geometridae,Carsia,Carsia sororiata,Carsia sororiata,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1750131,Lepidoptera,Gracillariidae,Phyllonorycter,Phyllonorycter messaniella,Phyllonorycter messaniella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1848202,Lepidoptera,Gelechiidae,Ptocheuusa,Ptocheuusa paupella,Ptocheuusa paupella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
8399654,Lepidoptera,Tortricidae,Thiodia,Thiodia torridana,Thiodia torridana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
7895336,Lepidoptera,Noctuidae,Oligia,Oligia strigilis,Oligia strigilis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1830282,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia aurulentella,Argyresthia aurulentella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743770,Lepidoptera,Tortricidae,Celypha,Celypha woodiana,Celypha woodiana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1782672,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,Acronicta rumicis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5119245,Lepidoptera,Notodontidae,Phalera,Phalera bucephala,Phalera bucephala,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4530793,Lepidoptera,Tortricidae,Gynnidomorpha,Gynnidomorpha luridana,Gynnidomorpha luridana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1963446,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata,Chloroclysta siterata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1869852,Lepidoptera,Pyralidae,Apomyelois,Apomyelois bistriatella,Apomyelois bistriatella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1864161,Lepidoptera,Sphingidae,Proserpinus,Proserpinus proserpina,Proserpinus proserpina,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1849779,Lepidoptera,Gelechiidae,Scrobipalpa,Scrobipalpa stangei,Scrobipalpa stangei,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1736412,Lepidoptera,Tortricidae,Strophedra,Strophedra nitidana,Strophedra nitidana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5145521,Lepidoptera,Geometridae,Scopula,Scopula limboundata,Scopula limboundata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1984734,Lepidoptera,Geometridae,Odezia,Odezia atrata,Odezia atrata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1875633,Lepidoptera,Pyralidae,Vitula,Vitula biviella,Vitula biviella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1737796,Lepidoptera,Tortricidae,Cydia,Cydia ulicetana,Cydia ulicetana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1769519,Lepidoptera,Noctuidae,Cosmia,Cosmia affinis,Cosmia affinis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1841755,Lepidoptera,Scythrididae,Scythris,Scythris fuscoaenea,Scythris fuscoaenea,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1840528,Lepidoptera,Elachistidae,Agonopterix,Agonopterix cnicella,Agonopterix cnicella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1873051,Lepidoptera,Pyralidae,Cryptoblabes,Cryptoblabes gnidiella,Cryptoblabes gnidiella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4530033,Lepidoptera,Tortricidae,Cydia,Cydia microgrammana,Cydia microgrammana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5806132,Lepidoptera,Geometridae,Chlorochlamys,Chlorochlamys chloroleucaria,Chlorochlamys chloroleucaria,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1750086,Lepidoptera,Gracillariidae,Phyllonorycter,Phyllonorycter scopariella,Phyllonorycter scopariella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1833084,Lepidoptera,Elachistidae,Elachista,Elachista atricomella,Elachista atricomella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1882905,Lepidoptera,Crambidae,Diplopseustis,Diplopseustis perieresalis,Diplopseustis perieresalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1760887,Lepidoptera,Noctuidae,Aporophyla,Aporophyla lueneburgensis,Aporophyla lueneburgensis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5120585,Lepidoptera,Coleophoridae,Coleophora,Coleophora idaeella,Coleophora idaeella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1735827,Lepidoptera,Nepticulidae,Ectoedemia,Ectoedemia quinquella,Ectoedemia quinquella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1750122,Lepidoptera,Gracillariidae,Phyllonorycter,Phyllonorycter quinqueguttella,Phyllonorycter quinqueguttella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1846159,Lepidoptera,Momphidae,Mompha,Mompha propinquella,Mompha propinquella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4532357,Lepidoptera,Erebidae,Hypena,Hypena crassalis,Hypena crassalis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5108951,Lepidoptera,Erebidae,Diphthera,Diphthera festiva,Diphthera festiva,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1875425,Lepidoptera,Pyralidae,Euzophera,Euzophera osseatella,Euzophera osseatella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1841640,Lepidoptera,Scythrididae,Scythris,Scythris grandipennis,Scythris grandipennis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1746666,Lepidoptera,Tortricidae,Eana,Eana argentana,Eana argentana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4525777,Lepidoptera,Sesiidae,Synanthedon,Synanthedon myopaeformis,Synanthedon myopaeformis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5105339,Lepidoptera,Limacodidae,Apoda,Apoda limacodes,Apoda limacodes,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5121786,Lepidoptera,Coleophoridae,Coleophora,Coleophora currucipennella,Coleophora currucipennella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
8260255,Lepidoptera,Nepticulidae,Stigmella,Stigmella filipendulae,Stigmella filipendulae,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1788425,Lepidoptera,Noctuidae,Mesapamea,Mesapamea didyma,Mesapamea secalis,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
1739256,Lepidoptera,Tortricidae,Cnephasia,Cnephasia conspersana,Cnephasia conspersana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4527497,Lepidoptera,Scythrididae,Scythris,Scythris crassiuscula,Scythris crassiuscula,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4525547,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha vittella,Ypsolopha vittella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1842097,Lepidoptera,Cosmopterigidae,Pyroderces,Pyroderces argyrogrammos,Pyroderces argyrogrammos,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5102474,Lepidoptera,Nepticulidae,Stigmella,Stigmella ruficapitella,Stigmella ruficapitella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1965795,Lepidoptera,Geometridae,Eulithis,Eulithis populata,Eulithis populata,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1952062,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,Habrosyne pyritoides,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4524424,Lepidoptera,Geometridae,Ennomos,Ennomos quercaria,Ennomos quercaria,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1859047,Lepidoptera,Pterophoridae,Emmelina,Emmelina argoteles,Emmelina argoteles,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
9400895,Lepidoptera,Nepticulidae,Etainia,Ectoedemia sericopeza,Etainia sericopeza,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
4527225,Lepidoptera,Nepticulidae,Ectoedemia,Ectoedemia spinosella,Ectoedemia spinosella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1740469,Lepidoptera,Tortricidae,Adoxophyes,Adoxophyes privatana,Adoxophyes privatana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1740392,Lepidoptera,Tortricidae,Acleris,Acleris hastiana,Acleris hastiana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5769750,Lepidoptera,Nepticulidae,Stigmella,Stigmella carpinella,Stigmella carpinella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1739451,Lepidoptera,Tortricidae,Cochylidia,Cochylidia subroseana,Cochylidia subroseana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4525476,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia spinosella,Argyresthia spinosella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1983645,Lepidoptera,Geometridae,Eupithecia,Eupithecia trisignaria,Eupithecia trisignaria,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1735522,Lepidoptera,Opostegidae,Opostega,Opostega spatulella,Opostega spatulella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1867928,Lepidoptera,Saturniidae,Saturnia,Saturnia pyri,Saturnia pyri,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1886251,Lepidoptera,Crambidae,Spoladea,Spoladea recurvalis,Spoladea recurvalis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1795930,Lepidoptera,Noctuidae,Apamea,Apamea furva,Apamea furva,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1856133,Lepidoptera,Tineidae,Haplotinea,Haplotinea ditella,Haplotinea ditella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5105088,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia populetorum,Caloptilia populetorum,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1833106,Lepidoptera,Elachistidae,Elachista,Elachista regificella,Elachista regificella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1739391,Lepidoptera,Tortricidae,Rhyacionia,Rhyacionia logaea,Rhyacionia logaea,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5116416,Lepidoptera,Erebidae,Nudaria,Nudaria mundana,Nudaria mundana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1848314,Lepidoptera,Gelechiidae,Anacampsis,Anacampsis temerella,Anacampsis temerella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1880062,Lepidoptera,Crambidae,Crambus,Crambus hamella,Crambus hamella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1750100,Lepidoptera,Gracillariidae,Phyllonorycter,Phyllonorycter acerifoliella,Phyllonorycter acerifoliella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1735844,Lepidoptera,Nepticulidae,Ectoedemia,Ectoedemia albifasciella,Ectoedemia albifasciella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1741621,Lepidoptera,Tortricidae,Cochylis,Cochylis roseana,Cochylis roseana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1981696,Lepidoptera,Geometridae,Minoa,Minoa murinata,Minoa murinata,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4525949,Lepidoptera,Epermeniidae,Epermenia,Epermenia profugella,Epermenia profugella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1790023,Lepidoptera,Noctuidae,Agrochola,Agrochola haematidea,Agrochola haematidea,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1873411,Lepidoptera,Pyralidae,Nephopterix,Nephopterix angustella,Nephopterix angustella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1828637,Lepidoptera,Hepialidae,Hepialus,Hepialus humuli,Hepialus humuli,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1841821,Lepidoptera,Scythrididae,Scythris,Scythris cicadella,Scythris cicadella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1759668,Lepidoptera,Noctuidae,Lithophane,Lithophane ornitopus,Lithophane ornitopus,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
4528702,Lepidoptera,Oecophoridae,Tachystola,Tachystola acroxantha,Tachystola acroxantha,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1879452,Lepidoptera,Crambidae,Duponchelia,Duponchelia fovealis,Duponchelia fovealis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1940744,Lepidoptera,Sesiidae,Synanthedon,Synanthedon culiciformis,Synanthedon culiciformis,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1808450,Lepidoptera,Erebidae,Amata,Amata phegea,Amata phegea,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5103998,Lepidoptera,Tortricidae,Eupoecilia,Eupoecilia ambiguella,Eupoecilia ambiguella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1743867,Lepidoptera,Tortricidae,Pandemis,Pandemis dumetana,Pandemis dumetana,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
8292872,Lepidoptera,Noctuidae,Syngrapha,Syngrapha interrogationis,Syngrapha interrogationis,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1749921,Lepidoptera,Gracillariidae,Phyllonorycter,Phyllonorycter corylifoliella,Phyllonorycter corylifoliella,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1859952,Lepidoptera,Pterophoridae,Oidaematophorus,Oidaematophorus lithodactyla,Oidaematophorus lithodactyla,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
5102480,Lepidoptera,Nepticulidae,Stigmella,Stigmella luteella,Stigmella luteella,98,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1796139,Lepidoptera,Noctuidae,Apamea,Apamea epomidion,Apamea epomidion,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
1731858,Lepidoptera,Eriocraniidae,Heringocrania,Eriocrania unimaculella,Heringocrania unimaculella,99,SYNONYM,EXACT,SPECIES,uksi_09May2022
1850538,Lepidoptera,Gelechiidae,Helcystogramma,Helcystogramma rufescens,Helcystogramma rufescens,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
8426357,Lepidoptera,Zygaenidae,Zygaena,Zygaena lonicerae,Zygaena lonicerae,99,ACCEPTED,EXACT,SPECIES,uksi_09May2022
