,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,3689,3550,3390,3149,2912,2628,2262,1610,472
conf-total,5062,4621,4227,3761,3367,2955,2486,1727,501
reject,312,753,1147,1613,2007,2419,2888,3647,4873
moths-total,5374,5374,5374,5374,5374,5374,5374,5374,5374
