sort,Superfam_#,subfam_#,Superfamily,Family,Subfamily,Current_valid_binomen,Author_yr,BCI_BIN,Source_Basset,Source_BOLD,Source_iNat,Source_CanalZone,Source_Literature,Timeframe_Jan2023,Timeframe_Nov2023,Timeframe_Historic
2,11,11,HEPIALOIDEA,Hepialidae,,Druceiella metellus,"(Druce, 1890)",n.a.,,,,,Forbes,,,1
4,11,11,HEPIALOIDEA,Hepialidae,,Hampsoniella assa,"(Druce, 1887)",n.a.,,,,,Forbes,,,1
6,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus bactra,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
7,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus bifurcata,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
8,30,30,TINEOIDEA,Tineidae,Acrolophinae,Acrolophus panamae,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
10,30,30,TINEOIDEA,Psychidae,Arrhenophaninae,Arrhenophanes chiquita,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
11,30,30,TINEOIDEA,Psychidae,Arrhenophaninae,Arrhenophanes perspicilla,"(Stoll, [1790])",unassigned,,1,1,Busck (1914),,1,1,1
15,30,30,TINEOIDEA,Psychidae,Oiketicinae,Cryptothelea symmicta,"(Dyar, 1914)",n.a.,,,,,Forbes,,,1
16,30,30,TINEOIDEA,Psychidae,Oiketicinae,Naevipenna aphaidropa,"(Dyar, 1914)",BOLD:ADO3373,,1,,,Forbes,,,1
17,30,30,TINEOIDEA,Psychidae,Oiketicinae,Oiketicus geyeri,"Berg, 1877",n.a.,,,,,Forbes,,,1
18,30,30,TINEOIDEA,Psychidae,Oiketicinae,Oiketicus kirbyi,"Guilding, 1827",n.a.,,,,,Forbes,,,1
19,30,30,TINEOIDEA,Tineidae,,Amydria umbraticella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
20,30,30,TINEOIDEA,Tineidae,,Harmaclona cossidella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
21,30,30,TINEOIDEA,Tineidae,,Parathyris perspicilla,Stoll,n.a.,,,,Busck (1912),,,,1
22,30,30,TINEOIDEA,Tineidae,,Scardia isthmiella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
23,30,30,TINEOIDEA,Tineidae,,Scardia minimella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
34,36,36,YPONOMEUTOIDEA,Attevidae,,Atteva pustulella,"(Fabricius, 1794)",BOLD:AAA9259,,1,,,,,1,
35,36,36,YPONOMEUTOIDEA,Attevidae,,Atteva zebra,"Duckworth, 1967",,,,,,Duckworth 1967,,,1
40,45,45,URODOIDEA,Urodidae,,Urodus parvula,,,,,1,,,,1,
42,47,47,Choreutoidea,Choreutidae,Choreutinae,Ornarantia tristis,,,,,1,,,,1,
43,47,47,CHOREUTOIDEA,Choreutidae,,Glyphipteryx plenella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
44,47,47,CHOREUTOIDEA,Choreutidae,,Hemerophila laciniosella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
45,47,47,CHOREUTOIDEA,Choreutidae,,Hemerophila meratella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
46,47,47,CHOREUTOIDEA,Choreutidae,,Jonaca olivacea,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
47,47,47,CHOREUTOIDEA,Choreutidae,,Machlotica atractias,Meyrick,n.a.,,,,Busck (1914),,,,1
48,47,47,CHOREUTOIDEA,Choreutidae,,Ordrupia fanniella,"Busck, 1914",n.a.,,,,Busck (1912),,,,1
49,47,47,CHOREUTOIDEA,Choreutidae,,Porpe lamella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
50,47,47,CHOREUTOIDEA,Choreutidae,,Rhobonda gaurisana,"Walker, 1863",n.a.,,,1,,,1,1,
51,47,47,CHOREUTOIDEA,Choreutidae,,Tortyra cuprinella,"Busck, 1914",unassigned,,1,,Busck (1914),,,,1
52,47,47,CHOREUTOIDEA,Choreutidae,,Tortyra ferratella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
53,47,47,CHOREUTOIDEA,Choreutidae,,Ussara eumitrella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
54,47,47,CHOREUTOIDEA,Choreutidae,,Ussara eurythmiella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
57,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Auratonota hydrogramma,"(Meyrick, 1912)",BOLD:AAA4038,,1,,,,,,
58,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Hilarographa plectanodes,"Meyrick, 1921",n.a.,,,1,,,1,,
59,51,51,TORTRICOIDEA,Tortricidae,Chlidanotinae,Histura panamana,"Brown, 2019",BOLD:ABV2176,,1,,,Brown et al 2020,,1,
60,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Eriosocia guttifera,"(Meyrick, 1913)",BOLD:ABV2165,,1,,,Brown et al 2020,,,
64,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Grapholita mabeaa,"Razowski, 2011",,,1,,,,,,
67,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Ricula lacistema,"Brown, 2019",,,,,,Brown et al 2020,,,
70,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Riculorampha ancyloides,"Rota & Brown, 2009",,,,,,Brown et al 2020,,,
72,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Ricula croceus,"Brown, 2019",BOLD:ABV2186,,1,,,Brown et al 2020,,,
76,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Cryptaspasma perseana,"Gilligan & Brown, 2011",BOLD:AAB0277,,1,,,Brown et al 2020,,,
77,51,51,TORTRICOIDEA,Tortricidae,Olethreutinae,Steblopotamia streblopa,"Meyrick, 2020",BOLD:ABV2183,,1,,,Brown et al 2020,,,
79,51,51,Tortricoidea,Tortricidae,Olethreutinae,Streblopotamia streblopa,,,,,1,,,1,,
80,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Spinipogon triangularis,"Brown, 2019",BOLD:AAA2890,,1,,,Brown et al 2020,,,
81,51,51,Tortricoidea,Tortricidae,Tortricinae,Phricanthes flexilineana,,,,,1,,,,1,
82,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Amorbia revolutana,"(Zeller, 1877)",BOLD:AAA2826,,1,,,,,,
83,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Homona aquila,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
84,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Homona consobrina,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
87,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Platynota subargentea,"Walsingham, 1913",,,,,,Brown et al 2020,,,
88,51,51,TORTRICOIDEA,Tortricidae,Tortricinae,Mictopsichia hubneriana,"(Stoll, 1791)",BOLD:AAA4693,,1,,,,1,1,
90,53,53,COSSOIDEA,Brachodidae,Brachodinae,Sagalassa atriflava,,,,,,,,,,
91,53,53,COSSOIDEA,Castniidae,Castniinae,Telchin atymnius ,"(Dalman, 1824)",,,,,Dyar (1914),,,,1
92,53,53,COSSOIDEA,Castniidae,Castniinae,Telchin cacica ,"(Herrich-Schäffer, [1854])",,,,,Dyar (1914),Forbes,,,1
93,53,53,COSSOIDEA,Castniidae,Castniinae,Telchin evalthe ,"(Fabricius, 1775)",,,,,Dyar (1914),,,,1
94,53,53,COSSOIDEA,Castniidae,Castniinae,Telchin licus ,"(Drury, 1773)",,,,,Dyar (1914),,,,1
95,53,53,COSSOIDEA,Cossidae,Cossinae,Miacora diphyes,"Forbes, 1942",n.a.,,,,,Forbes,,,1
96,53,53,COSSOIDEA,Cossidae,Cossulinae,Cossula abnoba,"(Schaus, 1892)",n.a.,,,,,Forbes,,,1
97,53,53,COSSOIDEA,Cossidae,Cossulinae,Cossula arpi,"(Schaus, 1901)",n.a.,,,,,Forbes,,,1
98,53,53,COSSOIDEA,Cossidae,Cossulinae,Cossula duplex,"Dyar & Schaus, 1937",n.a.,,,,,Forbes,,,1
99,53,53,COSSOIDEA,Cossidae,Cossulinae,Cossula niveogrisea,"(Schaus, 1905)",n.a.,,,,,Forbes,,,1
100,53,53,COSSOIDEA,Cossidae,Cossulinae,Cossula vinnea,"(Schaus, 1921)",n.a.,,,,,Forbes,,,1
101,53,53,COSSOIDEA,Cossidae,Cossulinae,Trigena crassa,"Schaus, 1911",n.a.,,,1,,,1,,
102,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira amanosa,"Schaus, 1911",n.a.,,,,,Forbes,,,1
103,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira aroa,"(Schaus, 1894)",n.a.,,,,,Forbes,,,1
104,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira juturna,"(Schaus, 1892)",n.a.,,,1,,Forbes,1,,1
105,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira nais,"(Druce, 1898)",n.a.,,,1,,Forbes,1,,1
106,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira necreros,"(Dyar, 1914)",n.a.,,,,,Forbes,,,1
107,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira nudaria,"(Schaus, 1901)",n.a.,,,1,,Forbes,1,,1
108,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira perfida,"(Schaus, 1921)",n.a.,,,,,Forbes,,,1
109,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira stypus,"Forbes, 1942",n.a.,,,,,Forbes,,,1
110,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira tigrata,"Schaus, 1911",n.a.,,,,,Forbes,,,1
111,53,53,COSSOIDEA,Cossidae,Hypoptinae,Givira tristani,"(Schaus, 1911)",n.a.,,,,,Forbes,,,1
112,53,53,COSSOIDEA,Cossidae,Hypoptinae,Inguromorpha polybia,"(Schaus, 1892)",n.a.,,,,,Forbes,,,1
113,53,53,COSSOIDEA,Cossidae,Hypoptinae,Langsdorfia lunifera,"Dyar & Schaus, 1937",n.a.,,,1,,Forbes,1,,1
114,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Aramos ramosus,"(Schaus, 1892)",n.a.,,,,,Forbes,,,1
115,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Brypoctia strigifer,"(Dyar, 1914)",n.a.,,,,,Forbes,,,1
116,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Morpheis comisteon,"(Schaus, 1911)",n.a.,,,,,Forbes,,,1
117,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Morpheis pyracmon,"(Cramer, 1780)",n.a.,,,,,Forbes,,,1
118,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Morpheis xylotribus,"(Herrich-Schaeffer, [1853])",n.a.,,,,,Forbes,,,1
119,53,53,COSSOIDEA,Cossidae,Zeuzerinae,Psychonoctua terrafirma,"Schaus, 1911",n.a.,,,1,,,1,,
120,53,53,Cossoidea,Cossidae,,Dolecta juturna,,,,,1,,,1,,
121,55,55,SESIOIDEA,Sesiidae,Sesiinae,Carmenta foraseminis,"Eichlin, 1995",BOLD:ABV2190,,1,,,,,,
127,55,55,SESIOIDEA,Sesiidae,Sesiinae,Leptaegeria nr_costalimai,"Köhler, 1953",BOLD:ACJ4196,,1,,,,,,
128,57,57,ZYGAENOIDEA,Limacodidae,,Dichromapteryx saborioi,,,,,1,,,1,,
131,57,57,ZYGAENOIDEA,Limacodidae,,Euclea mesoamericana,,,,,1,,,,1,
134,57,57,ZYGAENOIDEA,Limacodidae,,Euprosterna elaea,,,,,1,,,,1,
135,57,57,ZYGAENOIDEA,Megalopygidae,,Megalopyge opercularis,,,,,1,,,1,,
137,57,57,ZYGAENOIDEA,Limacodidae,,Perola nitidissima,,,,,1,,,1,,
140,57,57,ZYGAENOIDEA,Megalopygidae,,Podalia tympania,,,,,1,,,,1,
142,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia semirufa,,,,,1,,,,1,
144,57,57,ZYGAENOIDEA,Dalceridae,Acraginae,Acraga leberna,"(Druce, 1890)",,,,,,,,,
145,57,57,ZYGAENOIDEA,Dalceridae,Acraginae,Dalcerides alba,"(Druce, 1887)",BOLD:AAB1245,,1,,,Forbes; Miller 94,1,1,1
146,57,57,ZYGAENOIDEA,Dalceridae,Acraginae,Dalcerides dulciola,,,,,1,,,,1,
147,57,57,ZYGAENOIDEA,Dalceridae,Acraginae,Dalcerides mesoa,"(Druce, 1887)",BOLD:AAU0521,,1,,,Forbes; Miller 94,,,1
148,57,57,ZYGAENOIDEA,Dalceridae,Dalcerinae,Ca anastigma,"Dyar, 1914",BOLD:ADP9495,,1,,,Miller (1994),,,1
149,57,57,ZYGAENOIDEA,Dalceridae,Dalcerinae,Minacraga plata,,,,,,,,,,
150,57,57,ZYGAENOIDEA,Dalceridae,Dalcerinae,Paracraga argentea,"(Schaus, 1910)",BOLD:ACR0268,,1,,,Forbes; Miller 94,,1,1
151,57,57,Zygaenoidea,Limacodidae,Limacodinae,Acharia hyperoche,,,,,1,,,,1,
152,57,57,Zygaenoidea,Limacodidae,Limacodinae,Parasa cebrenis,,,,,1,,,,1,
153,57,57,Zygaenoidea,Limacodidae,Limacodinae,Parasa figueresi,,,,,1,,,,1,
154,57,57,Zygaenoidea,Limacodidae,Limacodinae,Parasa sandrae,,,,,1,,,,1,
155,57,57,Zygaenoidea,Limacodidae,Limacodinae,Parasa viridogrisea,,,,,1,,,,1,
156,57,57,Zygaenoidea,Limacodidae,Limacodinae,Phobetron hipparchia,,,,,1,,,,1,
157,57,57,Zygaenoidea,Limacodidae,Limacodinae,Venadicodia denderia,,,,,1,,,,1,
158,57,57,Zygaenoidea,Megalopygidae,Megalopyginae,Parvunduzia bolivari,,,,,1,,,,1,
159,57,57,Zygaenoidea,Megalopygidae,Trosiinae,Aithorape roseicornis,,,,,1,,,,1,
160,57,57,Zygaenoidea,Megalopygidae,Trosiinae,Thoscora ribbei,,,,,1,,,,1,
164,57,57,ZYGAENOIDEA,Limacodidae,,Dichromapteryx didyma,"Dyar, 1912",n.a.,,,,,Forbes,,,1
165,57,57,ZYGAENOIDEA,Limacodidae,,Epiperola albimarginata,"(Kaye, 1901)",n.a.,,,,,Forbes,,,1
166,57,57,ZYGAENOIDEA,Limacodidae,,Epiperola paida,"Dyar, 1912",n.a.,,,,,Forbes,,,1
167,57,57,ZYGAENOIDEA,Limacodidae,,Epiperola vafera,"(Druce, 1900)",n.a.,,,,,Forbes,,,1
168,57,57,ZYGAENOIDEA,Limacodidae,,Euclea buscki,"Dyar, 1912",n.a.,,,,,Forbes,,,1
169,57,57,ZYGAENOIDEA,Limacodidae,,Euclea cippus,"(Cramer, 1775)",n.a.,,,,,Forbes,,,1
170,57,57,ZYGAENOIDEA,Limacodidae,,Euclea costaricana,"Epstein & Corrales, 2004",n.a.,,,1,,,1,,
171,57,57,ZYGAENOIDEA,Limacodidae,,Euclea distrahens,"Dyar, 1912",n.a.,,,,,Forbes,,,1
172,57,57,ZYGAENOIDEA,Limacodidae,,Euclea norba,"(Druce, 1887)",n.a.,,,1,,Forbes,,1,1
173,57,57,ZYGAENOIDEA,Limacodidae,,Euclea pallicolor,"Dyar, 1906",n.a.,,,,,Forbes,,,1
174,57,57,ZYGAENOIDEA,Limacodidae,,Euclea plugma,"(Sepp, 1848)",n.a.,,,,,Forbes,,,1
175,57,57,ZYGAENOIDEA,Limacodidae,,Euphobetron cupreitincta,"Dyar, 1906",n.a.,,,,,Forbes,,,1
176,57,57,ZYGAENOIDEA,Limacodidae,,Euprosterna caria,,,,,,,,,,
177,57,57,ZYGAENOIDEA,Limacodidae,,Euprosterna elaeasa,"Dyar, 1906",n.a.,,,,,Forbes,,,1
178,57,57,ZYGAENOIDEA,Zygaenidae,,Harrisina guatemalena,"(Druce, 1884)",n.a.,,,,,Forbes,,,1
179,57,57,ZYGAENOIDEA,Zygaenidae,,Harrisina mexicana,"Schaus, 1889",n.a.,,,,,Forbes,,,1
180,57,57,ZYGAENOIDEA,Megalopygidae,,Megalopyge albicollis,"(Walker, 1855)",BOLD:AEC4245,,1,,,,,1,
181,57,57,ZYGAENOIDEA,Megalopygidae,,Megalopyge opercularis costaricensis,"(Smith, J.E., 1797)",n.a.,,,1,,Forbes,1,,1
183,57,57,ZYGAENOIDEA,Megalopygidae,,Megalopyge tharops,"(Stoll, 1782)",n.a.,,,1,,,1,1,
184,57,57,ZYGAENOIDEA,Megalopygidae,,Mesoscia dyari,"Schaus, 1912",n.a.,,,1,,,1,,
185,57,57,ZYGAENOIDEA,Megalopygidae,,Mesoscia guttifascia,"(Walker, 1856)",n.a.,,,,,Forbes,,,1
186,57,57,ZYGAENOIDEA,Megalopygidae,,Mesoscia pusilla,"(Stoll, 1782)",n.a.,,,,,Forbes,,,1
187,57,57,ZYGAENOIDEA,Megalopygidae,,Microrape minuta,"(Druce, 1886)",n.a.,,,,,Forbes,,,1
188,57,57,ZYGAENOIDEA,Limacodidae,,Narosopsis leucospila,"Dyar, 1912",n.a.,,,,,Forbes,,,1
189,57,57,ZYGAENOIDEA,Limacodidae,,Natada fusca,"(Druce, 1887)",n.a.,,,,,Forbes,,,1
190,57,57,ZYGAENOIDEA,Limacodidae,,Natada incandescens,"Dyar, 1906",BOLD:ADN8510,,1,,,Forbes,,1,1
191,57,57,ZYGAENOIDEA,Limacodidae,,Natada lucens dognini,"(Walker, 1885)",n.a.,,,,,Forbes,,,1
192,57,57,ZYGAENOIDEA,Limacodidae,,Natada michorta,"Dyar, 1912",n.a.,,,1,,Forbes,1,,1
193,57,57,ZYGAENOIDEA,Limacodidae,,Natada nindla,"Dyar, 1912",n.a.,,,,,Forbes,,,1
194,57,57,ZYGAENOIDEA,Limacodidae,,Natada subpectinata,"Dyar, 1906",n.a.,,,,,Forbes,,,1
195,57,57,ZYGAENOIDEA,Megalopygidae,,Norape ovina,"(Sepp, 1852)",BOLD:AEC3375,,1,,,,,,
196,57,57,ZYGAENOIDEA,Megalopygidae,,Norape pura,,,,1,,,,,,
197,57,57,ZYGAENOIDEA,Limacodidae,,Palaeophobetron cinereum,Forbes,n.a.,,,,,Forbes,,,1
198,57,57,ZYGAENOIDEA,Limacodidae,,Palaeophobetron perornata,,,,,,,,,,
201,57,57,ZYGAENOIDEA,Limacodidae,,Perola repetita,"Druce, 1900",BOLD:AEC5366,,1,,,Forbes,1,1,1
202,57,57,ZYGAENOIDEA,Limacodidae,,Perola sericea,"Möschler, 1878",n.a.,,,,,Forbes,,,1
203,57,57,ZYGAENOIDEA,Limacodidae,,Perola villosipes,"(Walker, 1865)",n.a.,,,,,Forbes,,,1
204,57,57,ZYGAENOIDEA,Megalopygidae,,Podalia albicollis,"Forbes, 1942",n.a.,,,,,Forbes,,,1
205,57,57,ZYGAENOIDEA,Megalopygidae,,Podalia bolivari,"Heylaerts, 1884",n.a.,,,,,Forbes,,,1
207,57,57,ZYGAENOIDEA,Megalopygidae,,Podalia thanatos,"Schaus, 1905",n.a.,,,,,Forbes,,,1
208,57,57,ZYGAENOIDEA,Limacodidae,,Prolimacodes scaphoides,"Hering & Hopp, 1927",,,1,,,,,,
209,57,57,ZYGAENOIDEA,Limacodidae,,Prolimacodes triangulifera,"Schaus, 1896",n.a.,,,,,Forbes,,,1
210,57,57,ZYGAENOIDEA,Limacodidae,,Semyra bella,"(Herrich-Schäffer, 1854)",n.a.,,,1,,Forbes,1,,1
211,57,57,ZYGAENOIDEA,Limacodidae,,Semyra distincta,"(Möschler, 1878)",n.a.,,,,,Forbes,,,1
212,57,57,ZYGAENOIDEA,Limacodidae,,Semyra finita,"Walker, 1855",n.a.,,,1,,,1,,
213,57,57,ZYGAENOIDEA,Limacodidae,,Semyra irena,"Dyar, 1906",n.a.,,,,,Forbes,,,1
214,57,57,ZYGAENOIDEA,Limacodidae,,Sibine affinis,"Möschler, 1883",n.a.,,,,,Forbes,,,1
215,57,57,ZYGAENOIDEA,Limacodidae,,Sibine hyperoche,"Dognin, 1914",n.a.,,,,,Forbes,,,1
216,57,57,ZYGAENOIDEA,Limacodidae,,Sibine joyceans,"Dyar, 1927",n.a.,,,,,Forbes,,,1
217,57,57,ZYGAENOIDEA,Limacodidae,,Sibine nesea,"(Stoll, 1781)",n.a.,,,,,Forbes,,,1
218,57,57,ZYGAENOIDEA,Limacodidae,,Sibine ophelians,"Dyar, 1927",n.a.,,,,,Forbes,,,1
219,57,57,ZYGAENOIDEA,Limacodidae,,Talima emilia,"(Dyar, 1908)",n.a.,,,,,Forbes,,,1
220,57,57,ZYGAENOIDEA,Limacodidae,,Talima rubicolor,"(Dyar,1906)",n.a.,,,,,Forbes,,,1
221,57,57,ZYGAENOIDEA,Limacodidae,,Tanadema mas,"Hering & Hopp, 1905",,,1,,,,,,
222,57,57,ZYGAENOIDEA,Limacodidae,,Tanadema neutra,"Dyar, 1908",n.a.,,,1,,,1,,
224,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia dimas,"(Cramer, 1775)",n.a.,,,,,Forbes,,,1
225,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia fallax,"(Felder, 1874)",BOLD:ADM2733,,1,,,Forbes,,,1
226,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia pulla,Forbes,n.a.,,,,,Forbes,,,1
227,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia punctigera,"(Stoll, 1790)",,,1,,,,,,
228,57,57,ZYGAENOIDEA,Megalopygidae,,Trosia ribbei,"(Druce, 1898)",n.a.,,,,,Forbes,,,1
233,59,59,GELECHIOIDEA,Oecophoridae,,Inga inflammata,,,,,1,,,,1,
234,59,59,GELECHIOIDEA,Oecophoridae,,Inga sparsiciliella,,,,,1,,,1,,
235,59,59,GELECHIOIDEA,Depressariidae,Depressariinae,Filinota ignita,"(Busck, 1912)",BOLD:AAH5890,,1,,,,,,
237,59,59,GELECHIOIDEA,Depressariidae,Depressariinae,Himmacia inflammata,,,,1,,,,,,
239,59,59,GELECHIOIDEA,Depressariidae,Depressariinae,Machimia analis,"(Busck, 1914)",BOLD:ADP0948,,1,,,,,1,
240,59,59,GELECHIOIDEA,Depressariidae,Depressariinae,Machimia illuminella,"(Busck, 1914)",BOLD:ADP3580,,1,,,,,,
241,59,59,GELECHIOIDEA,Depressariidae,Depressariinae,Philtronoma cbdora,"Metz, 2020",BOLD:AAF6938,,1,,,,,,
242,59,59,GELECHIOIDEA,Depressariidae,Ethmiinae,Ethmia submissa,,,,,1,,,1,,
243,59,59,GELECHIOIDEA,Depressariidae,Ethmiinae,Ethmia elutella,"Busck, 1914",n.a.,,,1,Busck (1914),,1,,1
244,59,59,GELECHIOIDEA,Depressariidae,Ethmiinae,Ethmia festiva,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
245,59,59,GELECHIOIDEA,Depressariidae,Ethmiinae,Ethmia ungulatella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
246,59,59,GELECHIOIDEA,Depressariidae,Hypercalliinae,Hypercallia syntoma,"Sepp, 1830",BOLD:AAP1880,,1,,,,,,
247,59,59,GELECHIOIDEA,Depressariidae,Peleopodinae,Durrantia arcanella,"(Busck, 1912)",BOLD:AAK9347,,1,,,,1,,
254,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Antaeotricha radicalis,,,,,1,,,,1,
258,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Antaeotricha umbratella,,,,,1,,,1,,
264,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma impressella,,,,,1,,,,1,
265,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma melanixa,,,,,1,,,1,,
270,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Antaeotricha fascicularis,"Zeller, 1854",BOLD:ADQ3595,,1,,,,,,
272,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Athleta nigricans,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
273,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Catarata curviliniella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
274,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Catarata lapilella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
275,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Catarata obnubila,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
276,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Catarata ocellata,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
277,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Catarata pumilis,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
278,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Cerconota anonella,"Sepp, 1830",,,1,,,,,,
279,59,59,Gelechioidea,Depressariidae,Stenomatinae,Chlamydastis arenaria,,,,,1,,,,1,
280,59,59,Gelechioidea,Depressariidae,Stenomatinae,Chlamydastis montywoodi,,,,,1,,,,1,
281,59,59,Gelechioidea,Depressariidae,Stenomatinae,Chlamydastis tryphon,,,,,1,,,,1,
282,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Gonioterma cora,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
283,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Gonioterma gerda,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
284,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Gonioterma impressella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
285,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Gonioterma minna,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
286,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Loxotoma elegans,"Zeller, 1854",BOLD:ADO4803,,1,,,,,,
288,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Phelotropa oenodes,"Meyrick, 1915",BOLD:AAJ5442,,1,,,,,,
289,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Promenesta leucomias,"Meyrick, 1925",BOLD:ADQ2394,,1,,,,,,
290,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma affirmatella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
291,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma basilaris,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
292,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma bovinella,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
293,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma byssina,"Zeller, 1855",BOLD:AFD7759,,1,,,,,1,
294,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma carbonifer,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
295,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma chlorina,Kearfott,n.a.,,,,Busck (1914),,,,1
296,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma claripennis,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
297,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma discalis,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
298,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma felix,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
299,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma fenestra,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
300,59,59,GELECHIOIDEA,Depressariidae,Stenomatinae,Stenoma frondifer,"Busck, 1914",n.a.,,,,Busck (1914),,,,1
