speciesKey,species,genus,family
1762321,Tunocaria rubiginosa,Tunocaria,Noctuidae
6115475,Corgatha rimosa,Corgatha,Erebidae
6115700,Acontia magnifica,Acontia,Noctuidae
1764902,Elyptron berioi,Elyptron,Noctuidae
1787173,Athetis fragosa,Athetis,Noctuidae
1766012,Hydrillodes inversa,Hydrillodes,Erebidae
1762895,Hypobleta fatua,Hypobleta,Noctuidae
1784877,Paracaroides behara,Paracaroides,Noctuidae
5113413,Maghadena boby,Maghadena,Noctuidae
6115969,Eutelia subviolescens,Eutelia,Euteliidae
1765407,Feliniopsis hoplista,Feliniopsis,Noctuidae
6116108,Timora pauliani,Timora,Noctuidae
1787228,Athetis zombitsy,Athetis,Noctuidae
1791795,Selenistis pauliani,Selenistis,Noctuidae
1765754,Tathorhynchus nigra,Tathorhynchus,Noctuidae
5113407,Maghadena radama,Maghadena,Noctuidae
1776609,Euplexia borbonica,Euplexia,Noctuidae
1764898,Elyptron catalai,Elyptron,Noctuidae
1777955,Andrianam poinimerina,Andrianam,Erebidae
1761484,Deinypena biplagalis,Deinypena,Erebidae
1799744,Mecodina cataloxia,Mecodina,Erebidae
6115536,Phytometra zotica,Phytometra,Erebidae
6116535,Diaphone delamarei,Diaphone,Noctuidae
1774296,Marca griseonigralis,Marca,Erebidae
1767367,Maliattha pratti,Maliattha,Noctuidae
1758644,Marcipa madegassa,Marcipa,Erebidae
1758694,Marcipa bullifera,Marcipa,Erebidae
1798337,Homodes magnifica,Homodes,Erebidae
5108744,Callopistria malagasy,Callopistria,Noctuidae
1758849,Chasmina malagasy,Chasmina,Noctuidae
1758651,Marcipa liberta,Marcipa,Erebidae
1976664,Oxydia sociata,Oxydia,Geometridae
5143824,Larentia tenuis,Larentia,Geometridae
1887337,Scybalistodes regularis,Scybalistodes,Crambidae
1798655,Hypena tristigma,Hypena,Erebidae
5109297,Acontia bilimeki,Acontia,Noctuidae
9531835,Dolocucullia minor,Dolocucullia,Noctuidae
4528097,Microlechia chretieni,Microlechia,Gelechiidae
1851020,Chionodes agriodes,Chionodes,Gelechiidae
1850954,Chionodes permacta,Chionodes,Gelechiidae
8859253,Accuminulia longiphallus,Accuminulia,Tortricidae
5105036,Caloptilia atomosella,Caloptilia,Gracillariidae
1745287,Cryptaspasma haplophyes,Cryptaspasma,Tortricidae
1852500,Walshia exemplata,Walshia,Cosmopterigidae
12047957,Cenopis unicolorana,Cenopis,Tortricidae
1848640,Exoteleia anomala,Exoteleia,Gelechiidae
9014068,Chionodes imber,Chionodes,Gelechiidae
1848343,Anacampsis rhoifructella,Anacampsis,Gelechiidae
9066279,Chionodes ensis,Chionodes,Gelechiidae
1847644,Anarsia burmanni,Anarsia,Gelechiidae
1852195,Iwaruna biguttella,Iwaruna,Gelechiidae
11826356,Carpatolechia deogyusanae,Carpatolechia,Gelechiidae
