,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,6320,6232,5971,5522,4911,4191,3349,2156,571
conf-total,6949,6736,6322,5739,5056,4274,3405,2188,579
reject,4,217,631,1214,1897,2679,3548,4765,6374
moths-total,6953,6953,6953,6953,6953,6953,6953,6953,6953
