,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,3310,3150,2932,2742,2531,2270,1919,1339,349
conf-total,3995,3645,3284,2985,2697,2381,1994,1379,357
reject,151,501,862,1161,1449,1765,2152,2767,3789
moths-total,4146,4146,4146,4146,4146,4146,4146,4146,4146
