,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,2986,2962,2899,2789,2638,2423,2101,1513,511
conf-total,3349,3272,3122,2945,2737,2486,2142,1532,515
reject,8,85,235,412,620,871,1215,1825,2842
moths-total,3357,3357,3357,3357,3357,3357,3357,3357,3357
