,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,2010,1959,1886,1783,1659,1523,1285,946,297
conf-total,2485,2344,2183,2014,1835,1645,1369,1001,313
reject,77,218,379,548,727,917,1193,1561,2249
moths-total,2562,2562,2562,2562,2562,2562,2562,2562,2562
