,conf-10,conf-20,conf-30,conf-40,conf-50,conf-60,conf-70,conf-80,conf-90
correct,2220,2098,1947,1815,1677,1492,1249,822,161
conf-total,2945,2620,2329,2088,1854,1610,1315,856,168
reject,167,492,783,1024,1258,1502,1797,2256,2944
moths-total,3112,3112,3112,3112,3112,3112,3112,3112,3112
